dimensione,dct2,lib_dct2
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,999700,0
8,999600,0
9,1000400,0
10,999400,0
11,999800,0
12,1998900,0
13,2000500,0
14,3000200,0
15,3001600,0
16,2997900,0
17,3999700,0
18,4000200,0
19,5000200,0
20,5000300,0
21,5999800,0
22,6002000,0
23,6998200,0
24,6999500,0
25,8000400,0
26,8999800,0
27,10000800,999800
28,8999200,0
29,11000000,0
30,13001300,0
31,13000600,0
32,13002700,997100
33,15999400,0
34,15996400,0
35,14999500,0
36,20001100,0
37,18003900,0
38,21998100,0
39,20001300,1000500
40,25999300,0
41,21998500,0
42,23000700,0
43,22999400,0
44,25000000,0
45,26001100,0
46,31043900,965500
47,32995700,997700
48,36996200,0
49,35000100,0
50,32000000,1000600
51,32999500,0
52,41003700,0
53,42996500,0
54,42999900,0
55,37038000,0
56,37995400,0
57,43999400,964200
58,49039800,960100
59,45036000,966300
60,44035700,964000
61,45035100,0
62,49962600,0
63,57029200,0
64,52994100,0
65,51000100,0
66,53002900,0
67,65995700,0
68,58999400,0
69,59971500,0
70,64989200,0
71,72000400,0
72,65998900,0
73,68002200,0
74,77029800,1001500
75,71004100,0
76,71009400,0
77,78987900,0
78,74002300,0
79,77962700,0
80,84963500,0
81,79033100,0
82,91966300,0
83,105000900,0
84,86998700,0
85,100005700,0
86,98026500,0
87,91000100,999400
88,108693100,969600
89,96621000,0
90,103594900,1000200
91,110020300,0
92,104979100,0
93,113999800,0
94,114000400,0
95,119985600,0
96,117997200,0
97,120998100,1000400
98,124000300,0
99,122999200,1000700
100,129001100,1001100
101,135071600,1000300
102,139260400,1029200
103,136123900,954100
104,139481000,0
105,138963400,1001700
106,146999200,1001800
107,146056000,1000300
108,154251500,902600
109,150100000,1000800
110,157203700,1000200
111,151276800,1000900
112,166964400,1005000
113,156993400,1000300
114,171037200,0
115,199965500,0
116,173035300,0
117,167997800,0
118,177965200,0
119,183034300,0
120,188979600,1001100
121,195996100,0
122,188049000,0
123,185002100,0
124,193994700,1027400
125,195937400,1000500
126,201999500,0
127,204003100,2000600
128,213034400,0
129,208000400,968400
130,223996800,0
131,226001500,998900
132,238038400,965100
133,222035600,999600
134,228963700,1035400
135,230962000,0
136,233003800,999900
137,247035100,1998600
138,245965900,0
139,255996000,1999900
140,260000200,0
141,256003900,0
142,263036800,997000
143,270965200,0
144,271037600,1969600
145,312995800,1031400
146,279977100,0
147,276000200,0
148,289001100,964500
149,294033200,2002300
150,296997700,966100
151,306000100,2000100
152,305000500,0
153,314998700,0
154,318005600,0
155,329997100,1009300
156,322985800,0
157,324000600,2000300
158,324000700,1036300
159,342996900,1000000
160,344999800,0
161,338998800,0
162,344995500,0
163,340004400,2033900
164,348999300,1001000
165,363961500,0
166,354000200,1000700
167,366002800,2000600
